Order_ID,Order_Date,Region,Category,Product,Units_Sold,Unit_Price,Discount,Revenue,Cost,Profit
ORD-0001,2025-11-24,Northeast,Technology,Mechanical Keyboard,4,79.99,0,319.96,156.0,163.96
ORD-0002,2025-03-13,Northeast,Furniture,Office Chair,10,189.99,0.05,1804.9,1050.0,754.9
ORD-0003,2025-01-17,Northeast,Technology,Wireless Mouse,4,29.99,0.1,107.96,52.0,55.96
ORD-0004,2025-11-05,Northeast,Furniture,Standing Desk,12,329.99,0.15,3365.9,2460.0,905.9
ORD-0005,2025-12-26,West,Technology,USB-C Hub,10,44.99,0,449.9,200.0,249.9
ORD-0006,2025-01-04,Southeast,Furniture,Desk Lamp,6,39.99,0,239.94,108.0,131.94
ORD-0007,2025-03-21,Southeast,Office Supplies,Notebook Pack,2,14.99,0.05,28.48,12.0,16.48
ORD-0008,2025-02-19,Central,Office Supplies,Printer Paper,1,11.99,0.15,10.19,5.0,5.19
ORD-0009,2025-08-24,Northeast,Office Supplies,Notebook Pack,9,14.99,0,134.91,54.0,80.91
ORD-0010,2025-11-18,Central,Furniture,Standing Desk,12,329.99,0,3959.88,2460.0,1499.88
ORD-0011,2025-01-24,Southeast,Office Supplies,Notebook Pack,4,14.99,0,59.96,24.0,35.96
ORD-0012,2025-07-14,Central,Office Supplies,Printer Paper,3,11.99,0,35.97,15.0,20.97
ORD-0013,2025-07-01,Southeast,Furniture,Bookshelf,12,119.99,0.15,1223.9,816.0,407.9
ORD-0014,2025-11-28,Northeast,Furniture,Standing Desk,9,329.99,0.15,2524.42,1845.0,679.42
ORD-0015,2025-05-06,Southeast,Office Supplies,Gel Pen Set,5,9.99,0.15,42.46,17.5,24.96
ORD-0016,2025-12-19,Southeast,Furniture,Bookshelf,1,119.99,0,119.99,68.0,51.99
ORD-0017,2025-01-17,Central,Office Supplies,Printer Paper,2,11.99,0,23.98,10.0,13.98
ORD-0018,2025-10-18,Central,Technology,USB-C Hub,7,44.99,0.15,267.69,140.0,127.69
ORD-0019,2025-08-23,Southeast,Office Supplies,Desk Organizer,4,24.99,0.15,84.97,40.0,44.97
ORD-0020,2025-10-15,Central,Furniture,Desk Lamp,10,39.99,0.05,379.91,180.0,199.91
ORD-0021,2025-07-05,Southeast,Technology,USB-C Hub,2,44.99,0,89.98,40.0,49.98
ORD-0022,2025-02-26,Southeast,Furniture,Standing Desk,11,329.99,0.05,3448.4,2255.0,1193.4
ORD-0023,2025-11-02,Northeast,Office Supplies,Gel Pen Set,10,9.99,0.05,94.91,35.0,59.91
ORD-0024,2025-09-28,Central,Furniture,Office Chair,11,189.99,0.15,1776.41,1155.0,621.41
ORD-0025,2025-02-28,Central,Furniture,Bookshelf,2,119.99,0,239.98,136.0,103.98
ORD-0026,2025-08-11,Southeast,Office Supplies,Notebook Pack,12,14.99,0.15,152.9,72.0,80.9
ORD-0027,2025-05-15,Southeast,Furniture,Office Chair,11,189.99,0,2089.89,1155.0,934.89
ORD-0028,2025-11-24,Southeast,Technology,Mechanical Keyboard,3,79.99,0.1,215.97,117.0,98.97
ORD-0029,2025-09-29,Northeast,Furniture,Bookshelf,8,119.99,0,959.92,544.0,415.92
ORD-0030,2025-02-27,Central,Office Supplies,Desk Organizer,1,24.99,0,24.99,10.0,14.99
ORD-0031,2025-10-18,Northeast,Technology,USB-C Hub,2,44.99,0.1,80.98,40.0,40.98
ORD-0032,2025-03-06,Southeast,Furniture,Desk Lamp,9,39.99,0,359.91,162.0,197.91
ORD-0033,2025-05-16,West,Technology,Wireless Mouse,12,29.99,0,359.88,156.0,203.88
ORD-0034,2025-07-24,Central,Office Supplies,Gel Pen Set,2,9.99,0,19.98,7.0,12.98
ORD-0035,2025-04-26,Northeast,Office Supplies,Notebook Pack,10,14.99,0.1,134.91,60.0,74.91
ORD-0036,2025-04-28,Southeast,Technology,Laptop Stand,12,54.99,0.15,560.9,336.0,224.9
ORD-0037,2025-01-31,Southeast,Technology,Laptop Stand,6,54.99,0,329.94,168.0,161.94
ORD-0038,2025-09-21,Southeast,Office Supplies,Gel Pen Set,4,9.99,0.1,35.96,14.0,21.96
ORD-0039,2025-03-09,West,Technology,USB-C Hub,7,44.99,0,314.93,140.0,174.93
ORD-0040,2025-02-18,Northeast,Furniture,Desk Lamp,6,39.99,0.05,227.94,108.0,119.94
ORD-0041,2025-07-30,West,Furniture,Office Chair,11,189.99,0.15,1776.41,1155.0,621.41
ORD-0042,2025-11-27,Northeast,Technology,USB-C Hub,12,44.99,0,539.88,240.0,299.88
ORD-0043,2025-02-25,Southeast,Technology,Wireless Mouse,9,29.99,0.05,256.41,117.0,139.41
ORD-0044,2025-03-13,West,Technology,Mechanical Keyboard,8,79.99,0,639.92,312.0,327.92
